State;Up;Down;Left;Right;Stay
9,18|5,17;0.6;-0.288;-0.13086;1.942722;0.2543034
9,19|5,18;0.6063165;-0.45;-0.432;1.820143;-0.132
9,18|6,18;1.02;0;0.09700461;0;-0.15
9,18|7,18;-0.409662;1.182;-0.45;2.101253;0.5294421
9,17|8,18;-0.45;0.6;0;0;0
9,16|8,17;0;0;-0.45;0;-0.2424
8,16|8,16;0;0;0;0;0
18,5|6,13;0;1.182;0;0;0
18,4|7,13;-0.45;0;0;1.02;0
19,4|8,13;-0.45;0.762;0;-0.15;0
19,5|9,13;0;0;0;0.02039999;0
19,5|10,13;-0.747;1.02;-0.288;0;-0.255
19,6|11,13;0;1.02;0;0;0.04030654
19,6|12,13;-0.45;1.923896;0;0;0
19,7|13,13;-0.7997994;0;-0.1795117;0.2104281;-0.15
19,7|14,13;-0.3762;1.303808;-0.4896;-0.1159638;-0.15
18,7|15,13;-0.45;0;-0.765;1.02;-0.15
19,7|15,12;0;1.332;-0.41022;0;0
18,7|16,12;-0.279738;0.7668601;0;1.72554;-0.1416
19,7|16,11;-0.765;1.409675;-0.2096289;0;-0.2456364
19,8|17,11;0;1.5894;0;-0.255;-0.255
19,7|18,11;-0.765;1.5198;-0.543258;-0.255;0.199758
19,8|19,11;-0.45;0.6;1.02;0.5970657;0.3976622
19,9|19,10;-0.765;2.168747;-0.6791475;-0.15;-0.15
19,8|19,9;-0.765;1.955619;1.983384;-0.37995;-0.15
18,8|19,8;0.815358;0.2636356;0.883662;-0.765;-0.15
18,8|18,8;0;0;0;0;0
15,8|3,2;0;0;-0.15;0;0
15,8|4,2;0;0;0;0.6;0
16,8|5,2;0;0;-0.45;0.6;0
17,8|6,2;0;0;-0.45;0;0
16,8|7,2;1.02;0;0;0;0
16,9|8,2;0.6;0;-0.45;0;0
15,9|9,2;0;0;-0.15;0;0
15,9|10,2;0.6;0;0;0;0
15,10|11,2;0.6;0;0;0;0
15,11|12,2;0;-0.74214;0;0;-0.15
15,11|13,2;0;0;0;0.6;0
16,11|13,1;0.6;0.03523696;-0.28314;1.458;0
17,11|14,1;1.30026;0;-0.04884856;2.840118;-0.255
18,11|15,1;2.381502;-0.4999902;-0.2324502;0.762;-0.25464
18,11|15,2;0;-0.93411;-0.45;1.5894;0.3429984
17,11|15,3;0;0;-0.45;0.6;0
16,11|15,4;1.182;0;0;0;0
16,12|15,5;0.6;-0.45;0;0;0.01685999
16,13|15,6;-0.15;0;-0.0481914;0.6;0
16,13|15,7;0;-0.432;0;0;-0.15
16,13|15,8;-0.2489674;-0.45;0;0;0
16,12|15,9;1.584244;0;0;0;-0.15
16,12|15,10;1.2954;0;0;0.762;-0.15
16,12|15,11;0.762;0;-0.45;0;-0.15
16,12|16,11;1.996283;-0.9855;1.025544;1.301641;-0.37995
15,12|15,11;3.993548;-0.45;-0.255;0.618;-0.255
15,11|15,11;0;0;0;0;0
0,13|5,5;0;0;-0.15;-0.45;0
0,13|5,6;0.6;-0.603;-0.15;0;-0.15
0,13|5,7;0;-0.765;-0.15;0;0
0,12|5,8;0.6;0;0;0;-0.15
0,12|4,8;0.6;0;0;-0.15;0
0,12|4,9;0;-0.45;0;-0.15;0
0,12|3,9;0;0;-0.132;-0.15;0.1254
0,12|2,9;0.6;0;-0.132;-0.1194;0.3363
0,13|1,9;1.476;-0.45;-0.237;0;0
0,14|0,9;0.6;-0.45;0.2815194;0;0
0,13|0,10;0.8879991;0.1842977;0.735117;0;0.4933143
0,13|0,11;1.02;-1.13985;0.3831311;2.908216;0.8597669
0,13|0,12;2.939312;-0.45;-0.255;2.861545;-0.415965
0,14|0,13;3.55915;0;-0.15;0;-0.15
0,14|0,14;0;0;0;0;0
12,9|19,1;0;0;0;-0.45;0
13,9|18,1;0;0;0;-0.15;0
13,9|17,1;0;0;0;-0.15;0
13,9|16,1;-0.15;0;0;0;0
13,9|15,1;0.012;-0.45;0.6;0;-0.15
13,8|14,1;0.6;-0.5904;0;0;0
13,9|13,1;0;-0.45;0;-0.15;0
13,9|13,2;-0.15;0;-0.45;0;0
12,9|12,2;0;0;0;1.02;0
13,9|12,3;-0.3285;-0.45;0;-0.15;0
13,9|11,3;-0.3285;0;-0.45;0;-0.15
13,9|10,3;-0.255;-0.603;-0.45;-0.15;0
13,9|9,3;-0.255;-0.288;-0.45;-0.15;0
13,9|8,3;-0.255;-0.45;0;-0.15;0
13,9|8,4;-0.15;-0.747;0;-0.2955;-0.3285
13,9|8,5;-0.255;-0.9855;-0.8041842;-0.255;-0.15
13,9|9,5;-0.255;-0.1746;-0.288;-0.15;-0.255
13,9|10,5;-0.15;-0.432;-0.247428;0;-0.08541685
13,9|10,6;-0.3972949;-0.8109;-0.6012616;-0.3285;-0.3801546
13,8|11,6;0.9570922;-0.1084243;-0.2183657;0.6885199;0.4825914
13,8|12,6;2.221354;-0.8379005;-0.03501595;0.2707877;0.2330348
13,7|12,7;1.12316;0.2269213;-0.45;-0.15;-0.255
13,8|13,7;1.968741;-0.9855;0.5026535;-0.37995;-0.255
13,9|13,8;-0.37995;-1.13985;-0.3048735;-0.4411755;-0.4588228
12,9|13,9;-0.15;0;0.6;-0.765;0
11,9|12,9;-0.3285;0;0.762;-0.45;-0.15
11,9|11,9;0;0;0;0;0
8,16|4,8;0;0;0;0.6;0
9,16|4,9;0;-0.45;0;0;-0.15
9,16|4,10;0.6;-0.45;0;0;0
9,17|4,11;0.8754;-0.603;0;0;0
9,16|3,11;0.6;0;0;1.484101;-0.15
9,16|2,11;0.6;0;-0.5578797;0.618;-0.15
9,16|1,11;0;-0.45;-0.432;1.636542;-0.15
9,15|0,11;0;0;-0.45;0.6;0.06754982
10,15|0,12;1.5894;0;-0.45;0;0.012
10,16|0,13;1.916039;-0.45;0;0;0.05574
10,17|1,13;1.616994;0;-0.4896;1.182;0
9,17|2,13;0.6;0;0;0;0
9,18|2,14;1.314;0;-0.213642;1.02;0
9,19|3,14;0;-0.45;0;0;0
